mj,kanji,lines,yomi,shrink
1,々,3,おなじ・くりかえし・のま,々
2,〆,2,しめ,〆
3,〻,2,,〻
4,㐀,5,キュウ・おか,丘坵
5,㐁,6,テン,
6,㐂,6,キ・よろこぶ,㐂喜
7,㐄󠄁,3,カ・ケ・クワ,牛井
8,㐄󠄀,4,カ・ケ,牛井
9,㐅,2,ゴ,五
10,㐆,6,,㐆
11,㐌,5,イ,色
12,𬼜,5,イ・ショク,色
13,㐖,7,ケツ・ゲチ,乱
15,㐜,9,キュウ・グ,仇
16,㐡,11,ジュ,懦
17,㐤,12,タン・キュウ,
18,㐧,4,ダイ・テイ・ただ・ついで・やしき,第
20,㐨,8,ショ・ジョ,抒予
21,㐩,8,キョウ・ゴ,井
22,㐪󠄃,6,ガイ・い,亥宛
23,㐪󠄁,5,ガイ・い,亥宛
25,㐬󠄁,7,リュウ・ル・コウ・トツ,㐬
26,㐭,8,リン・くら,廩
27,㐮󠄁,13,ジョウ・ショウ・ソウ,㐮
28,㐮󠄂,13,ジョウ・はらう,㐮
29,㐮󠄃,13,ジョウ・ショウ・はらう・わりこむ・のぼる・たかい・ゆずる,㐮
30,㐯,17,ヨウ・あげる,庸
31,㐰,5,シン,信個
32,㐱,5,シン,爾尓尒
33,㐲,5,フク・タイ・ダイ・ふせる・ふす,伏
34,㐳,5,ゴツ,兀
35,㐴,5,ハン,攀
36,㐶󠄀,5,,化匕
37,㐶󠄁,5,,化匕
38,㐸,6,ケン,欠缺
39,㐹,6,キツ,仡
40,㐺,6,ギン・シュウ,乑衆
41,㐻,6,ダイ・ネ,
42,㐼,6,ショウ,拯
45,㑁󠄀,7,シュツ・シュチ・チュツ・チュチ,拙
46,㑁󠄁,7,チュツ,拙
47,㑂󠄀,7,ホウ,仿
48,㑂󠄁,7,ホウ・さまよう・にる,仿
49,㑃,7,オウ,拗
50,㑄,7,ブ,侮侮
51,㑅,7,サク,作
52,㑆,7,,怳
53,㑉,8,シュク,夙
54,㑊,8,エキ・ヤク,亦
55,㑋,8,キュウ・ク,伷
56,㑌,8,オウ,尩尫
57,㑍,8,ライ・レ,耒
59,㑎,8,ドウ・ノウ,徑
60,㑐,8,シュク,
61,㑑,8,サン,
62,㑒,8,セン・みな,僉
63,㑓,8,シュン・すぐれる,俊
64,㑗,9,シン,身
65,㑘,9,カイ,价
66,㑙,9,チョウ,
67,㑚,9,ダ,那
68,㑛,9,ソク・ショク,悚
69,㑜,9,テイ・エイ・セツ・セチ,折
70,㑞,9,ヨウ,媵
71,㑟,9,ホウ・ヒョウ,兵
72,㑣,10,ラン,
73,㑤󠄁,11,ボウ,苗
74,㑤󠄀,10,ボウ,苗
75,㑥,10,イ・シ,
76,㑦,10,レイ・ライ,戻戾
77,㑧,10,キ・おそれる,悸
78,㑨,10,また,㑨俣
79,㑪,10,サイ・ザイ・セイ,㑪
80,㑮,11,コン・ゴン,惲
81,㑯,11,シュ,頂
82,㑱,11,ショウ,揉
83,㑳,12,シュウ・シュ・ス・ドウ・ノウ,
84,㑴,12,シン,侵
85,㑵,12,シツ・ねたむ,嫉
86,㑶,12,キ・ケ,愾
87,㑷,12,タイ,態
88,㑸,12,ヨウ,倚
89,㑹󠄀,12,カイ・エ・あう,會会
90,㑻,13,バツ・マチ,樒
91,㑼,13,リャク,略
92,㑽,13,トウ,
93,㑾,13,ヨウ,傜
94,㑿,13,ソウ・ジョウ,巢
95,㒀,13,タク・チャク・タ・チャ,摘
96,㒁,13,グ,
97,㒂,15,チャク,著
98,㒃,14,ジ,貳弐
99,㒄,14,ゼン・ネン・セン,撚
100,㒅,14,ケイ,
101,㒆,14,キュウ,翕
102,㒇,14,ブ,憮
103,㒈,14,カン,橄
