mj,kanji,lines,yomi,shrink
104,㒉,14,ショウ,惝
105,㒊󠄁,16,シュウ,澀
106,㒊󠄀,16,シュウ,澀
107,㒋,14,シ,厮廝
108,㒌,14,ケイ,㷀煢
109,㒍,14,ルイ,傪
110,㒎,14,ソウ,僑
111,㒑,15,カイ・エ,匯
112,㒒,15,ボク・しもべ,㒒僕
113,㒓,15,タツ・タチ,達
114,㒔,15,トク・ドク・ショク・ゾク,
115,㒕,15,オウ,擁
116,㒖,15,ゴウ,藕
117,㒙,16,ベン・メン,
118,㒚,16,イン・オン,穏穩
119,㒛,16,チョウ・ジョウ,擢
120,㒜,16,ヨ,與
121,㒝,17,ベツ・メチ・バツ・マチ,幭
122,㒞,18,シュン・すぐれる,儁俊
123,㒟,18,ジョウ・ニョウ,裊
124,㒠,18,カイ・ガイ,瀣
125,㒡,19,ユウ・ユ,繇
126,㒤,20,ショウ,懾慴
127,㒥,20,フウ・フ,灃
128,㒦,20,ルイ・ライ,儡
129,㒧󠄀,21,レイ,儷
130,㒧󠄁,21,レイ,儷
131,㒨,21,セン,仙僲僊
132,㒩,23,ラ,裸梴
133,㒪,24,セキ,錫
134,㒫,6,キ,旡
135,㒭,10,コン,昆
136,㒯,18,ヨウ,燁曄
137,㒰,5,ゼン・セン・まったく,全
138,㒲,6,サイ・くれる,財
139,㒳,7,リョウ・ふたつ,兩両
140,㒴,7,コツ,仚
141,㒵,7,ボウ,㒵皃貌
142,㒶,7,ク・コウ・シュ・ショウ,公
143,㒸󠄀,9,スイ・ズイ,遂歳
144,㒸󠄁,9,スイ・ズイ,遂歳
145,㒹󠄁,20,テン,顚顛
146,㒹󠄀,20,テン,顚顛
147,㒺,8,ム・ボウ・モウ・あみ,罔
148,㒻,11,ボウ・モウ・ボク・モク,冒
150,㒼󠄁,11,バン・マン・ベン・メン,㒼
151,㒽,12,ケン,箞
152,㒾,13,シ・イ,葹
153,㒿,22,リ,籬
154,㓁,4,ボウ・モウ・あみがしら・あみ,㓁
155,㓂,9,コウ,寇
156,㓃󠄀,12,ト・ツ・タ,詫
157,㓃󠄁,12,タ・ツ・テ・ト・おく,詫
158,㓄,15,チン,毿
159,㓅,4,テイ・チョウ,汀
160,㓇,6,ヨク,㓇
162,㓈,7,ヒョウ,
163,㓉,8,カツ・ガチ,活
164,㓊,8,トウ・ズ,洞
165,㓋,8,キョウ・グ,洪
166,㓌,8,セイ・ショウ,洤
167,㓎,9,シン,浸
168,㓏,9,ケイ・キョウ,洞
169,㓐,10,リク・ロク,淕
170,㓑,10,ケイ・ギョウ,涬
171,㓓,11,ダン・ナン,
172,㓔,12,シャ・ジャ,謝
173,㓕,12,メツ・ベツ・ほろびる,滅
174,㓖,13,ヒツ・ヒチ,
175,㓗󠄀,14,ケツ・いさぎよい,潔
176,㓗󠄁,14,ケツ,潔
177,㓘,11,ソク,玊
178,㓙,6,キョウ,凶
179,㓚,5,コウ・ク,功
180,㓛,5,コウ・ク,㓛功切
181,㓜,5,ヨウ・おさない,幼
182,㓝,6,ケィ・のり,刑
183,㓞󠄀,6,カツ・カチ・ケイ,契
184,㓞󠄂,6,カツ・ケイ,契
185,㓞󠄃,6,カツ・ケチ・ケイ・カイ,契
186,㓟,7,ヒ,皯
187,㓠,7,テン,玷
188,㓡,8,フウ・フ,弣
189,㓢,8,ラク,刮
190,㓣,8,コウ・カツ,割
191,㓤,8,カツ・カチ,劼
192,㓧,9,カン・コン,含
193,㓨,9,シ,刺
194,㓩,9,ケン,觔
195,㓪,9,ロウ,朗
196,㓬,10,コ・ク,刳
197,㓭,11,セツ・ゼチ,鞨
198,㓮,10,チョウ,彫雕鵰
200,㓯,10,レイ・ライ,剿
201,㓱,11,トウ・ズ,兪
202,㓲,11,ヘン・ベン,扁
204,㓳,11,テイ・タイ,匙
205,㓴,11,ゼン・ネン,耎
206,㓵󠄀,11,ガク,鍔
207,㓵󠄁,11,ガク,鍔
208,㓶󠄀,11,ケツ・ケチ,鍥
209,㓶󠄁,11,ケツ・ケチ・きざむ,鍥
210,㓷,12,ギ・ケイ・はなきる,劓
211,㓸,12,タク・トウ・ツ,𠠇斲斵
212,㓹,12,セイ・エイ・ケツ・カツ,鋭
213,㓺,12,コン・ケン・ゲン,劇
214,㓻,12,ゴウ・つよい,剛
215,㓼,13,シ・セツ・セチ・シツ・シチ,刹
216,㓽,13,シュウ・ジュ,崇
217,㓾,14,セイ・サイ・チ・ジ,犀
218,㔀,14,リョウ,影
219,㔁,14,トウ,鄧
220,㔂,14,リン,粼
221,㔃,14,セツ・セチ・ケツ・ケチ,絶
222,㔄,14,ショク・ソク,剽
223,㔅,15,ショウ,肅
224,㔆,14,サン・ザン,朁
225,㔇,14,ハツ・ハチ,
226,㔊,15,セン・タン,亶
227,㔋,16,ガン・カン・ラン,監
228,㔌,16,ソウ・ジュ・シュ,鄹
229,㔍,16,サツ・サチ・セイ・セ・サン,算
230,㔎,18,セツ・セチ・ギツ・ゴチ,櫱
231,㔏,17,レキ・ラ・リャク,磊
232,㔑,19,シツ・シチ,刹
233,㔒,20,ケイ・ゲ,
234,㔓,5,ケン・コン,
235,㔕,6,キツ・ゴチ,励
237,㔗,7,ヒ・ビ,弗
238,㔘,7,チュツ,黜
239,㔙,8,ホウ・ヒョウ,剏
240,㔚,8,コウ,
241,㔜󠄁,9,ホツ,勃
242,㔜󠄀,9,ホツ,勃
243,㔝,10,リョウ,兩
244,㔞,10,カイ・ケ,剩乖
245,㔟󠄁,10,セイ・いきおい,㔟勢
246,㔠,11,カツ・ケチ,歇
249,㔡,12,ヘツ・ヘチ,毘
250,㔣,17,ライ・レ・ルイ,畾
251,㔤,17,シン,審
252,㔥,17,ハイ・バ,疲
253,㔦,17,ヨウ,養
255,㔧,18,ロ・リョ,
256,㔨,11,ハイ・ヘ,背
257,㔩,12,オウ,盍
258,㔪,13,ロ,鹵
259,㔫,4,サ・ひだり,左尢屮屮
260,㔬,8,タク,卓
261,㔭,11,シ,匙
262,㔮,21,ダ・ナ,難能
263,㔯,7,セン・ゼン,
264,㔰󠄁,7,コウ,恆恒
265,㔰󠄀,7,コウ・つね,恒恆
266,㔱󠄀,11,ユ,庾
267,㔱󠄁,10,ユ・くら,庾
268,㔳,13,キ,簋
269,㔴󠄀,13,ヨク・ヨキ,異
270,㔴󠄁,14,ヨク・ヨキ,異
271,㔵,14,セン,巽
272,㔶,26,カン・コン・コウ・ク,贛
273,㔷,7,ロウ・ル,陋
274,㔸,12,テイ・タイ,
275,㔹,4,ロク,仂
276,㔺󠄀,5,セイ・セ・よ,世丗
277,㔺󠄁,5,セイ・セ・よ,世丗
278,㔺󠄂,6,セイ・セ・よ,世丗
279,㔻,6,ヒ,丕
280,㔼,13,ジュン,
281,㔽,8,ユウ,卣
282,㔾,2,セツ,卩
284,㔿,3,ソウ,奏
285,㕁,8,キャク・しりぞく,卻却
286,㕂,6,ギン,吟崟訡
287,㕃,6,ケイ,
288,㕄,6,シ,砥
289,㕅,7,コウ,匣厘
290,㕆,7,ト・ツ・ゴ・コ,居
291,㕇,7,ロウ・リュウ,圧位
292,㕈,8,イ・アイ,扆
293,㕉,8,コウ,
294,㕊,9,フ,
295,㕋,10,キン・ゴン・ケン・ゲン,痊金
296,㕌,10,ガイ・タク・チャク,厚
297,㕍,10,タイ・テ・ガン・かり,堆雁
298,㕎,12,コウ・オウ,盍
299,㕐,14,シャ,冩
300,㕑,14,チュウ・チュ・ズ・ジュ・くりや,廚厨
301,㕒,15,ギ,儀
302,㕓󠄁,16,テン・デン,廛鄽
303,㕓󠄀,17,,廛鄽
304,㕕,4,ゲン,幻
305,㕖,10,ソ,素
306,㕗,11,ユウ・ユ,誘羑唀羐
307,㕙,15,シュン・セン,皴
308,㕚,4,ソウ・ショウ,爪蚤搔
309,㕛󠄀,4,ユウ,友爻犮
310,㕛󠄁,4,ユウ・とも,友爻犮
311,㕜󠄀,6,シ・ふみ,史
312,㕜󠄁,6,シ・ふびと・ふみ・さかん,史
313,㕝,7,シ,㕝事
314,㕞,8,セツ・セチ,㕞
315,㕟,9,カイ・ケ・キ,喟
316,㕠,12,ソウ,雙双
317,㕡󠄀,14,カク・ガク,壑
318,㕡󠄁,14,カク・ガク,壑
319,㕢,14,カイ・ガイ,叡
320,㕣,5,エン,㕣
321,㕤,5,キュウ,叴
322,㕥,5,シン,叺
323,㕦,6,カ・ゲ・ゴ,旲
324,㕧,6,キ・シ,
325,㕨,6,ハン,叭帆
326,㕩,7,ホウ,咩
327,㕪,7,タン・トン,眈
328,㕫,7,ホウ,仿方
329,㕬,7,コウ・ク・ショウ・シュ・ジュ,訟
330,㕭,7,オウ・ヨウ,咬
331,㕮,7,フ・かむ,㕮
332,㕯󠄀,7,トツ・どもる,吶
333,㕯󠄁,7,セツ・トツ・ドツ・ナチ・どもる,吶
334,㕰,7,カク,嘛
335,㕱,7,ユウ・ウ,吠
336,㕲,7,コウ・ゲチ・ヨウ,咊
337,㕳,7,キョウ・ク,呕
338,㕴,7,チン,沉
339,㕵,7,ボウ・コク,旺
340,㕶,7,ボク,伍
341,㕸,8,リュウ,砬
342,㕹,8,ハツ・ボチ・バチ,伐
343,㕺,8,キョウ,囂
344,㕻,8,トウ・ツ・ホウ・フ,
345,㕼,8,コウ,胸
346,㕽,8,シ,咐以
348,㖀,9,ロツ・ロチ,律
349,㖁,9,リン・おしむ,吝悋
350,㖂,9,エイ・セツ・セチ・セイ・ゼイ,詍
351,㖃,9,コウ・ク,詬吼
352,㖄,9,シュウ,洲
353,㖅,9,シュツ・シュチ,
354,㖆,9,キュウ・ク・キョク・コク・キク,曲
355,㖇,9,ニ・ジ,咡
356,㖏,10,デツ・ネチ,捏
357,㖐,10,イ,咢
358,㖑,10,カイ・ケ,欸
359,㖒,10,テイ,啼渧
360,㖓,10,コウ,峰
361,㖔,10,トン・チン,唔呑
362,㖕,10,ガツ・ガチ,啐
363,㖖,10,ガツ,辛
364,㖗,10,ギン,崟
365,㖘,10,シン,唇
366,㖟,11,シュウ・ジュ,授
367,㖠,11,ダ・ナ,
368,㖡,11,ヤ・エ,腋
369,㖢,12,シ・ジ・イ,庇
370,㖣,11,トウ,
371,㖤,11,カン・ゴン,涵
372,㖥,11,キン・ゴン,咽
373,㖦,11,トウ・ツ,㖦
374,㖧,11,コン・ブン,吻
375,㖨,11,ロク,㖨
376,㖩,11,シュ・ユ・ソウ,嗾
377,㖪,11,イク・ケキ・キョク・カク・キャク,域
378,㖫,11,リョウ,唆
379,𦮶,11,ブン・モン,
380,㖶󠄁,12,エツ,咽
381,㖶󠄀,12,エツ,咽
382,㖷,12,シ・テイ・ダイ,啼
383,㖸,12,キャク,噱
384,㖹,12,ホン・ボン・フン,噴
385,㖺,12,シュン,暙
386,㖻,12,ジュウ・ニュ,揉
387,㖼,12,ボウ,謀謨
388,㖾,12,ガク・おどろく,咢
389,㖿,12,シャ・ジャ・ヤ,椰
390,㗀,12,ユウ,呦
391,㗁,12,ガク,齶腭
392,㗂,12,セイ・ショウ,省
393,㗃,12,ブン,吻
394,㗄,12,マン,謾
395,㗅,12,コ・ゴ,㗅
396,㗆,12,カク・キャク,嗝的
397,㗇,12,カ・ゲ,暇
398,㗉,12,リャク・ガク,絜
399,㗊,12,シュウ・キュウ・コウ・ホウ・ライ,雷
400,㗋,12,コウ・のど,喉
401,㗌,12,チツ・チチ,腟
402,㗍,12,タイ,楿
403,㗐,12,コウ・あう,嗑
404,㗓,13,ツイ・タイ・テ,槌
405,㗔󠄀,13,ケン,虔
406,㗔󠄁,13,ケン,虔
407,㗕,13,コウ・ク,鴝
408,㗖󠄀,13,タン・くう,啗噉啖
409,㗖󠄁,13,タン・ダン・くう・くらわす,啗噉啖
410,㗗,13,ハイ・ヘ,
411,㗘,13,ハク,膊
412,㗙,13,シュ・ドウ・ノウ,謅
413,㗚,13,リツ・リチ,㗚
414,㗛,13,ショウ,笑关
415,㗜,13,キュウ,齅嗅
416,㗞,13,,破
417,㗢,14,コウ・グ・トウ・ズ・ク,慟
418,㗣,14,テイ,嚔嚏
419,㗤,14,シュク,蹙
420,㗥,14,カク,
421,㗦,14,ロウ,聊
422,㗧,14,チツ・テツ・テチ,膣
423,㗨,14,カイ・ケ・アイ・ア・キツ・コチ,
424,㗩,14,シュウ,
425,㗪,14,ヒ,紫
426,㗫,14,セツ・セチ・セイ・サイ・サツ,㡜
427,㗬,14,タ,爹
428,㗭,14,シツ,蟋
429,㗱,15,シュウ,𠍱
430,㗲,15,カク・ギャク,
431,㗳,15,トウ,塔
432,㗴󠄂,15,ガン・ゲン,㗴齗
433,㗴󠄁,15,ガン・ゲン,㗴
434,㗵,15,クツ・クチ,
435,㗶,15,ハツ,
436,㗻󠄁,15,カ,
437,㗻󠄀,16,カ,
438,㗼,16,ギョウ・ゴウ,
439,㗽,16,キョウ・コウ,響
440,㗾,16,カ,靴
441,㗿,16,カ・ケ,㗴
442,㘀,16,サク,
443,㘁,16,エキ・ヤク,
444,㘂,16,シ・ジ,
445,㘅,17,カン,㘅銜
446,㘆,17,タイ・ダイ,
447,㘇,17,エイ・ヨウ,嶸
448,㘈,17,ギョク・ゴキ・ギ,礙
449,㘉,18,シツ・シチ,節
450,㘊,18,ユウ・キュウ・コウ,
451,㘋,18,ケン・ゲン,礥
452,㘌,18,ケキ・ギャク,噱
453,㘍,18,シツ・シチ,截
454,㘐,19,ホウ・ヒョウ,礮
455,㘑,19,レイ・ライ,隷
456,㘓,20,ラン,讕
457,㘕,21,ラン・カン,喊婪
458,㘖,21,ガン・ゲン,顔
459,㘙,23,ガン・ゲン・ゲキ・ギャク,
460,㘛,25,カン,嵌
461,㘜,26,シュウ,讐讎
462,㘝󠄀,5,ジュウ・ノウ・ドウ・ニョウ,囚
463,㘝󠄁,5,ジュ・シュウ・とらえる,囚
464,㘞,5,カ・ワ,
465,𡆪,6,ソウ,
466,㘠,8,ヒョク・ヒキ,必
467,㘡,8,コウ,柙
468,㘢,9,オウ,光
469,㘣,10,ケン・セン・ゼン,円圓
470,㘤,15,ワン・エン,淵
471,㘥,20,ユウ,囮
472,㘦,5,キン・ゴン,功
473,㘧,7,ジョ,序
474,㘨,7,カイ・ケ・ジョウ・ニョウ,
476,㘩,7,ヒ,
477,㘪,7,コウ,耗
478,㘫,7,セイ・ジョウ,穽
479,㘬,7,ブツ,佛仏均
480,㘭,7,オウ,坳
481,㘰,7,シン,斟酙
482,㘱,8,タン,坍
483,㘲,8,キク・コク,尻
484,㘳,8,キュウ,丘坵
485,㘴󠄀,8,ザ・すわる,坐
486,㘴󠄁,8,ザ・すわる・そぞろに・おわす,坐
487,㘶,9,ケツ,桀
488,㘷,9,ガイ,艾
489,㘸,9,ザ,坐
490,㘹,8,シ,堲
491,㘺,9,ハツ,
492,㘻,9,イン,
493,㘿,10,デツ・ネチ,涅
494,㙀,10,リュウ・ル・キュウ・ク,究
495,㙁,10,バイ・メ・ボク・モク,牧
496,㙂,10,タイ,兌
498,㙃,10,ホウ,梹
499,㙄󠄀,10,ヘイ・きざはし,陛
500,㙄󠄁,10,ヒ・ビ・ヘイ・ベイ・きざはし,陛
501,㙅,10,ホウ,保
502,㙇,11,チョク・チク・ジョク・ニク,琢
503,㙈,11,カ・ケ,琥
504,㙉,11,テン,腆倎
505,㙊,11,チョウ・ジョウ,㙊
506,㙎,12,イ,楲
507,㙏,12,フク,伏
508,㙐,12,タ,垜
509,㙑,12,ウ,宇㝢
511,㙒,12,ヤ・の,野𡌛埜
513,㙓,12,キ・ギ,堯
514,㙔,12,カン・イ,韓
515,㙕,12,カイ,塊隤
517,㙙,13,リョウ・リュ・ボウ・モ・モウ,尨塰
518,㙚,13,セイ・ショウ,梓
519,㙛󠄀,13,ホ・フ,搏
520,㙛󠄁,13,ホ・フ,搏
522,㙝,13,キョウ・コウ,
523,㙞,13,ギツ・ゴチ,臬
524,㙠,14,エイ,
525,㙡,14,ショウ・シュ,樅
526,㙢,14,バン・マン・ぬる,
527,㙣,14,チョウ,漲
528,㙤,14,カ・ケ,罅
529,㙥,14,コン,滾
530,㙧,15,リュウ・ル,璢
531,㙨,15,キ,畿
532,㙩,15,リョウ,撩
533,㙪,15,エイ・イ,噎
534,㙫,15,シュウ,潗
535,㙬,15,ギン,垠
536,㙯,15,ゲイ,埶蓺
537,㙰,16,カイ,蟹
538,㙱,16,コウ,號
539,㙲,16,ヨウ・ふさぐ,壅
540,㙳,16,カン,撼
541,㙴,16,セン,擔
542,㙵,16,タイ,臺台
543,㙶,16,ドウ,堂
544,㙷,17,チョウ・チュウ,濕
545,㙸,17,ハク,
546,㙹,17,ボウ・モウ,夢
547,㙺,17,キ,逵馗
548,㙻,18,テン,廛鄽
549,㙼,18,ルイ,壘塁
550,㙾,19,カク,礐埆确
551,㚀,20,キ,虧
552,㚁,24,キョウ,翹
553,㚂,25,ドウ・ノウ,
554,㚃,12,ウン・イン・エツ・エチ,壹
555,㚅,9,リュ・リュウ,隆
556,㚆,9,フク・ブク・かえる,复
557,㚇󠄁,9,ソウ・ス・バン・マン,
558,㚈󠄀,5,ショウ・ます,升舛
559,㚉󠄁,8,コ・ク,嬴
560,㚉󠄀,8,コ・ク・もうかる,嬴
562,㚊,12,カイ,
563,㚋,14,チョウ,奝奪
564,㚌,14,カ,夥
565,㚍,18,カイ・ケ,
566,㚐,6,トウ,套
567,㚑󠄂,6,レイ,㚑
568,㚑󠄁,6,レイ・リョウ・みたま・たま・くし,㚑
569,㚒,7,セン・セキ・シャク,夾
570,㚓,7,ライ,奈
571,㚔,8,ジョウ・ニョウ・ニュウ・コウ,幸
572,㚕,8,ヒツ・ビチ・フツ・ブチ,弼
573,㚖,8,コウ・タク・セキ・シャク・ジャク,㚖
574,㚗,8,シャ・ジャ,査
575,㚘,8,ハン・バン,扶伴
576,㚙,8,カ,㚙
577,㚚,9,コウ,名
578,㚜,11,ヨク・オキ・キョク・ケキ,域
579,㚝,11,ケイ・ケ,奎
580,㚞,11,シン,森
581,㚠,13,キョウ,窯
582,㚡,16,キ,奇
583,㚢󠄀,5,ブ,侮奴侮付附
584,㚢󠄁,5,ド,奴侮付附侮
585,㚣,6,コウ,姣
586,㚤,6,ヨク・ヨキ,奼
587,㚥,6,ウ,奸
588,㚦,6,キ,姫
589,㚧,6,ゲン,奵
590,㚩,7,ゼン・ネン・デン,姐
591,㚪,7,コウ,竓奼
592,㚫,7,ソウ,伋
594,㚬,7,キン,
595,㚭,7,ユウ・ウ,肬
596,㚮,7,タン,冗
597,㚰,8,ハイ・ヒ,胚
598,㚱,8,キュウ・ク,坵
599,㚲,8,セン・ショウ・テン,姑
600,㚳,8,カ,咖
601,㚴,8,ホ・フ,姉
602,㚵,8,トウ・ツ,柊
603,㚶,8,ジ,姒
604,㚷,8,デイ,嬭
605,㚸,8,シ,咢
606,㚹,8,ボウ・ミョウ,柳
607,㚺,8,ヨウ,孕
608,㚻,8,キ,妟
609,㚼,8,コウ,
610,㚽,8,コウ・キョウ,
611,㚾,8,ケイ・キョウ,娧
612,㚿,8,ホウ,包庖
613,㛁,8,ホウ・ヒョウ,怦
614,㛂,9,ガ・ダ・ナ,姤
615,㛃,9,ケツ・ケチ,契娶
618,㛄,9,エ・イ,依
619,㛅,9,ジ・ニ,咡
620,㛆,9,タ,垜
621,㛍,10,キョウ・ショウ,愜
622,㛎,10,リョ・ロ,梠
623,㛏,10,キュウ・グ,㛏
624,㛐,10,ソウ・あによめ,嫂
625,㛑,10,サン,粲
626,㛒,10,トウ・ツ,姮
627,㛓,10,チ・キ・ケ,唏
628,㛔,10,ホウ,烽
629,㛕,10,オウ,姶
630,㛖,10,サ,
631,㛗,10,サ,矬
632,㛘,10,ホツ・ホチ,哱
633,㛙,10,シン,妾
634,㛚,10,トウ・ツ・ヨウ・ユ,埇
635,㛛,10,シン,娠
636,㛜,10,ユウ・ニ,悠
637,㛝,10,ハイ,媜唄
638,㛞,10,ロウ・ル,挵
639,㛥,11,トウ,踏
640,㛦,11,ラン,
641,㛧,11,バン・マン,妬岩
642,㛨,11,キョウ・コウ,媄蜣
643,㛩,11,チク,
644,㛪,11,エン,唵
645,㛫,11,セキ・シャク,
646,㛬,11,リク・ロク,淕
647,㛭,11,セキ・シャク,
648,㛮󠄀,12,ソウ・あによめ,嫂
649,㛮󠄁,12,ソウ・あによめ,嫂
650,㛯,12,テン・ベン,娩
651,㛰,12,コン,婚
652,㛱,12,ワイ・エ,煨
653,㛳,12,エイ・セイ,啻
654,㛴,12,ドウ・ノウ,悩惱
655,㛵,12,ショウ,稱
656,㛶,12,タン,
657,㛷,12,ケイ,嵆
658,㛸,12,シュ,嬉
659,㛹,12,ヘン・ベン,楩嫄
660,㛺󠄀,12,アン・オン,
661,㛺󠄁,12,むかいめ,
662,㛻,12,カイ・ケ,娃
663,㛼󠄀,12,チョウ・ソウ,插
664,㛼󠄁,13,ソウ,插
665,㛽,12,サン,姍訕
666,㛾,12,カン・ガン,
667,㜂,12,ホウ・フ,犎
668,㜃,12,レン,信
669,㜄,12,シン・ジン,颯
670,㜅,13,チク・キク,搐
671,㜆,13,ベイ・メイ,迷娗
672,㜇,13,スイ・ズイ・ヨウ・イ・いかる,嬈恚
673,㜈,13,ボク・モク,婺
674,㜉,13,ヨウ・ユ,𡜆
675,㜊,13,テン,碾
676,㜋,13,エキ・ヤク,嗌
677,㜌,13,ドウ・ヌ・コウ・ク,殼
678,㜍,13,トウ・ドウ,塘
679,㜎,13,ケイ・ゲイ,
680,㜏,13,ウン,䢵鄖
681,㜐,13,シュ・ジュ,磑
682,㜑,13,バ,婆
683,㜒,13,ゲイ,婢舁
684,㜓,13,トウ,塔姶
685,㜖,14,ソウ・ゾウ,嘈
686,㜗,14,サン・ソウ・シン,墋
687,㜘,14,ショ・シュ・サ・ジャ,樝
688,㜙,14,ロク,摝
689,㜚,14,シュク,
690,㜛,14,ナン,嫩嫰
691,㜜,14,ゴウ,傲
692,㜝,14,ガン・ゴン・アン・オン・カン・ゲン・エン,
693,㜞,14,サン・ザ・セン,
694,㜠,14,サイ・セ,
695,㜡,14,ショウ・シュ,樅
696,㜢,14,リュ・ル・ロウ,
697,㜣,15,セン・ゼン・ネン・デン,燃
698,㜤,15,デン・ネン・シン・タン・ドン・テン,磹嫖
699,㜥,15,バイ・メ,買媢
700,㜦,15,シン・ジン,
701,㜧,15,ケツ,𡜆
702,㜩,16,オウ,
703,㜪,16,シン,新
704,㜫,16,ビ,媄媺
705,㜮,17,ラン,檻
706,㜯,17,キ,娭嬉
709,㜰,18,ヤク・シャク,礫
710,㜱,18,シツ・シチ,
711,㜲󠄀,19,エイ・ヨウ,嬴
712,㜲󠄁,19,エイ・ヨウ,嬴
713,㜳,19,カイ・エ,孃
714,㜴,19,ボウ・モウ,
715,㜵,19,ジョウ・ニョウ,嫋
716,㜶,20,ハン,
717,㜷,20,ビ・ミ・ベイ・メイ・セン,彌
718,㜸,20,セツ・ゲツ,孼孽
719,㜹,21,ク・グ・オウ・オ,嬥
720,㜺,22,サン,
721,㜻,26,レン,孌
722,㜼,26,テツ,姪
723,㜽,6,シ・こ,子
724,㜾,7,ガイ,孩咳
725,㝀,8,コウ,好
726,㝁,9,ケン,
727,㝂,10,セツ・セチ・セイ,
728,㝃,10,ブン・モン・ハン・ホン・ベン・メン・バン・マン,娩
729,㝄,12,ジュン,純緇
730,㝅,13,コウ・ドウ・ク・ヌ,榖
731,㝇,16,ジュン,鶉
732,㝈,25,サン・セン,孿嬲
733,㝊,5,シュ,守垨
734,㝋,5,リョウ,宁
735,㝌,6,キュウ・ク・ユウ・ユ,疚
736,㝍,6,シャ・うつす,寫写冩
737,㝎,7,テイ,定
738,㝏,7,カイ,介
739,㝐,7,ヨウ,容
740,㝑,7,ボウ,旁
741,㝒,8,キョ,居
742,㝓,9,コウ,凹
743,㝔,9,ヨウ,
744,㝕,9,ネイ,寧
745,㝖,9,ギ,宜冝
746,㝗,10,ロウ,莨
747,㝘,10,ゴウ・グ,訔
748,㝙,10,イン,寅
749,㝚,10,エン,莚
